,key,Inclusion decision,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
573,rayyan-1101982338,Include,High-intensity urban light installation dramatically alters nocturnal bird migration,2017.0,1,1,,0027-8424,114.0,42.0,11175-11180,"Van Doren, Benjamin M. and Horton, Kyle G. and Dokter, Adriaan M. and Klinck, Holger and Elbin, Susan B. and Farnsworth, Andrew",,,,,"Billions of nocturnally migrating birds move through increasingly photopolluted skies, relying on cues for navigation and orientation that artificial light at night (ALAN) can impair. However, no studies have quantified avian responses to powerful ground-based light sources in urban areas. We studied effects of ALAN on migrating birds by monitoring the beams of the National September 11 Memorial & Museum's ""Tribute in Light"" in New York, quantifying behavioral responses with radar and acoustic sensors and modeling disorientation and attraction with simulations. This single light source induced significant behavioral alterations in birds, even in good visibility conditions, in this heavily photopolluted environment, and to altitudes up to 4 km. We estimate that the installation influenced approximate to 1.1 million birds during our study period of 7 d over 7 y. When the installation was illuminated, birds aggregated in high densities, decreased flight speeds, followed circular flight paths, and vocalized frequently. Simulations revealed a high probability of disorientation and subsequent attraction for nearby birds, and bird densities near the installation exceeded magnitudes 20 times greater than surrounding baseline densities during each year's observations. However, behavioral disruptions disappeared when lights were extinguished, suggesting that selective removal of light during nights with substantial bird migration is a viable strategy for minimizing potentially fatal interactions among ALAN, structures, and birds. Our results also highlight the value of additional studies describing behavioral patterns of nocturnally migrating birds in powerful lights in urban areas as well as conservation implications for such lighting installations.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
54,rayyan-1101981819,Include,Efficiency of bird laser repellents (the case of Rooks and Pigeons),2018.0,1,1,,2520-2138,8.0,2.0,320-321,"Matsyura, A. V.",,,,,We tested the effect of laser repellents against the Rooks and Pigeons in the conditions of Kulunda Steppe (Altai Krai). We successfully scared birds from their roosting and feeding habitats. Based on our results we definitely can recommend laser devices for implementation in bird control management regards studied species.,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
7586,rayyan-1101989418,Include,Differential preference for ultraviolet light among captive birds from three ecological habitats,2013.0,1,1,,0168-1591,147.0,4.0,278-285,"Ross, Megan R. and Gillespie, Katie L. and Hopper, Lydia M. and Bloomsmith, Mollie A. and Maple, Terry L.",,,,,"With receptors for red, blue, green, and ultraviolet-A light, birds have tetrachromatic vision. For birds, ultraviolet (UV) light is important for a number of their behaviors, including mate selection, foraging, and nesting. Many captive birds, however, are housed indoors without access to natural light and without UV-supplemented lighting; a practice which may negatively impact their welfare. Understanding how birds use UV light, and assessing its relative importance, is necessary to provide optimal care in captive settings. Accordingly, we tested the preference for UV light shown by 67 birds housed at Lincoln Park Zoo, Chicago, USA, and its impact on their behavior. We tested 18 species which represented three natural ecologies typified by different natural light levels: high light dwellers (e.g., birds that live in savannas or seashores), patchy light dwellers (e.g., birds that live in forested areas), and circumpolar dwellers (e.g., birds that live near the poles). Experiment 1 investigated the birds' lighting preferences through simultaneous presentation of areas of their exhibit lit with supplemental ultraviolet light (UV+ zone) and with standard artificial light. Experiment 2 investigated the impact of supplemental UV light on these birds' behavioral repertoire. Birds from high light and circumpolar environments showed a preference for the side of their enclosure to which UV light was added. High light birds were recorded in the UV+ zone during 64% trials and, similarly, circumpolar birds were observed in this UV+ zone for 61% of trials; a significant preference for UV+ zone, P < 0.001 for both. Perhaps mimicking their natural habitat of part-sun and part-shade, in Experiment 1 birds from patchy light environments split their time evenly within their enclosure (they were recorded in the UV+ zone for 54% of trials). When in an environment with added UV light, birds from patchy light habitats were more sociable: the percentage of their observation trials spent in proximity and in contact with other birds increased from 5% to 11% (P = 0.026). Although certain birds showed a preference for the added UV light, none showed changes in their behavioral repertoire beyond the sociability measure. We discuss this preference for UV-supplemented environments and the management implications for zoos and other captive facilities which house birds indoors. (c) 2013 Elsevier B.V. All rights reserved.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Ultraviolet Rays,,
1380,rayyan-1101983145,Include,Colony-site selection drives management priorities for yelkouan shearwater populations,2008.0,1,1,,0022-541X,72.0,5.0,1188-1193,"Bourgeois, Karen and Vidal, Eric and Comor, Vincent and Legr and , Jerome and Dromzee, Sylvain",,,,,"We tested whether colony-site availability could allow for an increase in the unusually small breeding populations of yelkouan shearwater (Puffinus yelkouan) on the islands of the Port-Cros National Park (France) if feral cat eradication were undertaken. Comparisons between colony and noncolony sites indicated yelkouan shearwaters preferred deep-soded and low-outcrop-covered coastal sites. A substrate cover, light avoidance, and sea proximity model suggested that 17.5% of unoccupied sites are suitable for colony establishment. The low proportion of suitable sites currently used by yelkouan shearwaters suggests that these colonies could be refuges and that feral cat eradication will probably lead to a breeding population increase.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
9721,rayyan-1101991553,Include,AN IMPROVED SPOTLIGHTING TECHNIQUE FOR CAPTURING SAGE GROUSE,1992.0,1,1,,0091-7648,20.0,4.0,425-426,"WAKKINEN, WL and REESE, KP and CONNELLY, JW and FISCHER, RA",,,,,,,,,,
7292,rayyan-1101989124,Include,Individual-based measurements of light intensity provide new insights into the effects of artificial light at night on daily rhythms of urban-dwelling songbirds,2014.0,1,1,,0021-8790,83.0,3.0,681-692,"Dominoni, Davide M. and Carmona-Wagner, Esther O. and Hofmann, Michaela and Kranstauber, Bart and Partecke, Jesko",,,,,"The growing interest in the effects of light pollution on daily and seasonal cycles of animals has led to a boost of research in recent years. In birds, it has been hypothesized that artificial light at night can affect daily aspects of behaviour, but one caveat is the lack of knowledge about the light intensity that wild animals, such as birds, are exposed to during the night. Organisms have naturally evolved daily rhythms to adapt to the 24-h cycle of day and night, thus, it is important to investigate the potential shifts in daily cycles due to global anthropogenic processes such as urbanization. We captured adult male European blackbirds (Turdus merula) in one rural forest and two urban sites differing in the degree of anthropogenic disturbance. We tagged these birds with light loggers and simultaneously recorded changes in activity status (active/non-active) through an automated telemetry system. We first analysed the relationship between light at night, weather conditions and date with daily activity onset and end. We then compared activity, light at night exposure and noise levels between weekdays and weekends. Onset of daily activity was significantly advanced in both urban sites compared to the rural population, while end of daily activity did not vary either among sites. Birds exposed to higher amounts of light in the late night showed earlier onset of activity in the morning, but light at night did not influence end of daily activity. Light exposure at night and onset/end of daily activity timing was not different between weekdays and weekends, but all noise variables were. A strong seasonal effect was detected in both urban and rural populations, such as birds tended to be active earlier in the morning and later in the evening (relative to civil twilight) in the early breeding season than at later stages. Our results point at artificial light at night as a major driver of change in timing of daily activity. Future research should focus on the costs and benefits of altered daily rhythmicity in birds thriving in urban areas.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
293,rayyan-1101982058,Include,Understanding avian vision: The key to using light in bird management,2002.0,1,1,,0507-6773,,,146-152,"Blackwell, BF",,,,,"Vision is a primary and highly developed sensory pathway in birds. Light, both diffuse and wavelength-specific (e.g., as produced by lasers) has recently been demonstrated as a potential means of effecting changes in timing and consistency of flock response to an approaching vehicle (simulating an aircraft) and as an avian dispersal method. However, in experiments to date, the effectiveness of light in eliciting an avoidance or dispersal response in birds has varied by species and context. To effectively use light in managing avian conflicts with humans, a better understanding of the complexities of avian retinal physiology relative to phototaxic responses to the environment is necessary. My objectives are to provide an overview of research pertaining to 1) anatomical features of the avian eye and 2) the ecological implications of retinal wavelength sensitivity, and 3) discuss the application of light for resolving avian conflicts with humans. I also suggest that future evaluations of light-based management methods for birds should include integration of aposematic colors and color pattern treatments for seeds and in combination with chemical repellents, as well as quantification of the effects of light wavelength, pulse frequency, and beam configurations of lasers, and aircraft-mounted light in eliciting avian dispersal and avoidance behavior.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
910,rayyan-1101982675,Include,Response to: Green Light for Nocturnally Migrating Birds,2010.0,1,1,,1708-3087,15.0,3.0,-,"Evans, William R.",,,,,,"RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
6683,rayyan-1101988515,Include,Ultraviolet lights do not deter songbirds at feeders,2016.0,1,1,,0021-8375,157.0,1.0,239-248,"Habberfield, Michael W. and St Clair, Colleen Cassady",,,,,"Collision with glass windows is a leading anthropogenic cause of direct mortality for avian species and much attention has been given to developing methods to reduce the incidence of bird collisions. Little empirical research exists, however, examining the mechanisms by which birds might be deterred from human structures. We tested the efficacy of ultraviolet (UV) lights for preventing window strikes in an urban environment by measuring their deterrence effect at bird feeders at eight residential sites. We used remote cameras to count feeder visits over one winter in response to rotating treatments comprising a pulsating UV light, a light-reflecting compact disc, an unlit UV light as a novel object, and a control with no object. Using generalized linear mixed models, we showed that feeder visit rates were influenced by wind speed, site, and site-treatment interactions. The unlit novel object treatment yielded a visitation rate significantly higher than the control (p = 0.01). The UV and passive reflecting treatments slightly increased visitation above the control (p = 0.06 and p = 0.378, respectively). This suggests that novel objects may serve as an attractant in a foraging context and that this effect is stronger than any deterrence effect of UV light. The site-treatment interaction indicated that each of the four treatments produced the highest visitation rate for at least one of the sites. Rather than offer a biological explanation for this interaction, we speculate that it resulted from a spurious effect of temporal and spatial variation in bird activity that interacted with our randomized block design. Although we found no evidence that UV lights would deter urban songbirds from anthropogenic structures, their potential to attract attention may reduce the likelihood that birds fail to see and then collide with windows.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Ultraviolet Rays,,
5639,rayyan-1101987404,Include,A NIGHT-LIGHTING TECHNIQUE FOR CAPTURING CORMORANTS,1994.0,1,1,,0273-8570,65.0,2.0,254-257,"KING, DT and ANDREWS, KJ and KING, JO and FLYNT, RD and GLAHN, JF",,,,,"A night-lighting technique was developed, using a modified jon-boat, for capturing wintering Double-crested Cormorants (Phalacrocorax auritus) that roost in cypress trees surrounded by water. During November-March of 1990-1993, 115 cormorants were captured. In 1993, 33 cormorants were captured at the rate of 2.5 cormorants per hour of effort. The approximate cost of the fully equipped capture boat was $4000 (US). Only one bird was slightly injured from night-lighting and it is concluded that this is a safe and cost-effective way to capture wintering cormorants in the Delta region of Mississippi.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
2365,rayyan-1101984130,Include,Light-dependent magnetoreception in birds: analysis of the behaviour under red light after pre-exposure to red light,2004.0,1,1,,0022-0949,207.0,7.0,1193-1202,"Wiltschko, W and Moller, A and Gesson, M and Noll, C and Wiltschko, R",,,,,"In previous experiments, migratory birds had been disoriented under 635 nm red light, apparently unable to use their magnetic compass. The present study with European robins, Erithacus rubecula, confirms these findings for red light at the levels of 6x10(15) quanta s(-1) m(-2) and 43x10(15) quanta s(-1) m(-2), suggesting that the disorientation under red light was not caused by the test light being below the threshold for magnetoreception. However, pre-exposure to red light for 1 h immediately before the critical tests under red light of 6-7x10(15) quanta s(-1) m(-2) enabled robins to orient in their seasonally appropriate migratory direction in spring as well as in autumn. Pre-exposure to darkness, by contrast, failed to induce orientation under red light. Under green light of 7x10(15) quanta s(-1) m(-2), the birds were oriented in their migratory orientation after both types of pre-exposure. These findings suggest that the newly gained ability to orient under red light might be based on learning to interpret a novel pattern of activation of the magnetoreceptors and hence may represent a parallel to the previously described enlargement of the functional window to new magnetic intensities. Mechanisms involving two types of spectral mechanisms with different absorbance maxima and their possible interactions are discussed.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Lighting,,
633,rayyan-1101982398,Include,Reducing light-induced mortality of seabirds: High pressure sodium lights decrease the fatal attraction of shearwaters,2017.0,1,1,,1617-1381,39.0,,68-72,"Rodriguez, Airam and Dann, Peter and Chiaradia, Andre",,,,,"The use of artificial light at night and its ecological consequences are increasing around the world. Light pollution can lead to massive mortality episodes for nocturnally active petrels, one of the most threatened avian groups. Some fledglings can be attracted or disoriented by artificial light on their first flights. Studies testing the effect of artificial light characteristics on attractiveness to seabirds have not provided conclusive results and there is some urgency as some endangered petrel species experience high light-induced mortality. We designed a field experiment to test the effect of three common outdoor lighting systems with different light spectra (high pressure sodium, metal halide and light emitting diode) on the number and the body condition of grounded fledglings of the short-tailed shearwater Ardenna tenuirostris. A total of 235 birds was grounded during 99 experimental hours (33 h for each treatment). 47% of birds was grounded when metal halide lights were on, while light emitting diode and high pressure sodium lights showed lower percentages of attraction (29% and 24%). Metal halide multiplied the mortality risk by a factor of 1.6 and 1.9 respectively in comparison with light emitting diode and high pressure sodium lights. No differences in body condition were detected among the birds grounded by the different lighting systems. We recommend the adoption of high pressure sodium lights (or with similar spectra) into petrel-friendly lighting designs together with other light mitigation measures such as light attenuation, lateral shielding to reduce spill and appropriate orientation. (C) 2017 Elsevier GmbH. All rights reserved.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
1767,rayyan-1101983532,Include,Light-dependent magnetoreception in birds: increasing intensity of monochromatic light changes the nature of the response,2007.0,1,1,,1742-9994,4.0,,-,"Wiltschko, Roswitha and Stapput, Katrin and Bischof, Hans-Joachim and Wiltschko, Wolfgang",,,,,"Background: The Radical Pair model proposes that magnetoreception is a light-dependent process. Under low monochromatic light from the short-wavelength part of the visual spectrum, migratory birds show orientation in their migratory direction. Under monochromatic light of higher intensity, however, they showed unusual preferences for other directions or axial preferences. To determine whether or not these responses are still controlled by the respective light regimes, European robins, Erithacus rubecula, were tested under UV, Blue, Turquoise and Green light at increasing intensities, with orientation in migratory direction serving as a criterion whether or not magnetoreception works in the normal way. Results: The birds were well oriented in their seasonally appropriate migratory direction under 424 nm Blue, 502 nm Turquoise and 565 nm Green light of low intensity with a quantal flux of 8.10(15) quanta s(-1) m(-2), indicating unimpaired magnetoreception. Under 373 nm UV of the same quantal flux, they were not oriented in migratory direction, showing a preference for the east-west axis instead, but they were well oriented in migratory direction under UV of lower intensity. Intensities of above 36.10(15) quanta s(-1) m(-2) of Blue, Turquoise and Green light elicited a variety of responses: disorientation, headings along the east-west axis, headings along the north-south axis or 'fixed' direction tendencies. These responses changed as the intensity was increased from 36.10(15) quanta s(-1) m(-2) to 54 and 72.10(15) quanta s(-1) m(-2). Conclusion: The specific manifestation of responses in directions other than the migratory direction clearly depends on the ambient light regime. This implies that even when the mechanisms normally providing magnetic compass information seem disrupted, processes that are activated by light still control the behavior. It suggests complex interactions between different types of receptors, magnetic and visual. The nature of the receptors involved and details of their connections are not yet known; however, a role of the color cones in the processes mediating magnetic input is suggested.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,,,
4,rayyan-1101981769,Include,SOME OBSERVATIONS ON BEHAVIOUR OF SPOTTED OWLET (Athene brama) DURING ITS BREEDING SEASON,2008.0,1,1,,1018-7081,18.0,1.0,47-49,"Mahmood-ul-Hassan, M.",,,,,"Foraging, courtship and mating behavior in a pair of spotted owlet (Athene brama) in Punjab, Pakistan was monitored. A total of 360 hours was spent in observing this pair. Observations made from 1700 to 2000 hours Pakistan standard Time (PST) from 15 February to 15 May 2002 revealed that no clear cut sexual dimorphism exists in this species and sexes were judged from the relative position of birds during mating. The owlets are mainly crepuscular. Immediately after emerging from their nest, they stretch their wings and legs (2.52 min +/- 65 see; n = 78), self-preen (2.12 min +/- 45 sec; n = 93) and leave for foraging after emitting loud territorial calls. They use ""sit and wait"" strategy to capture their prey and perch on electric lamp posts 5 - 10 in high from the ground. Two instances of courting and mating were also observed.","RAYYAN-INCLUSION: {""Carrie An""=>""Included""}",,Breeding;Seasons,,
